updated_at,id,need_reply
2019-09-25,105,True
2019-09-25,109,True
2019-09-25,110,False
2019-09-30,212,True
2019-09-25,112,True
2019-09-25,108,True
2019-10-14,282,True
2019-09-25,106,False
2019-09-25,107,True
2019-09-30,213,True
2019-09-25,111,True
2019-09-27,126,True
2019-09-27,130,True
2019-10-02,236,True
2019-10-11,274,True
2019-09-25,113,True
2019-09-27,127,False
2019-09-25,114,True
2019-09-25,115,True
2019-09-27,131,True
2019-09-30,195,True
2019-09-25,118,True
2019-10-12,277,True
2019-09-25,117,True
2019-09-25,116,True
2019-09-28,182,True
2019-09-27,129,True
2019-09-28,183,True
2019-09-26,119,True
2019-09-26,120,True
2019-09-27,121,True
2019-09-27,123,True
2019-09-27,122,True
2019-09-27,124,True
2019-09-27,125,True
2019-09-27,128,True
2019-09-27,132,True
2019-09-27,139,True
2019-09-30,196,True
2019-09-27,133,True
2019-10-14,284,True
2019-10-25,324,True
2019-09-27,134,True
2019-09-27,135,True
2019-10-01,227,True
2019-09-27,136,True
2019-09-30,197,True
2019-09-27,137,True
2019-09-30,198,True
2019-09-30,214,True
2019-10-14,288,True
2019-10-01,221,True
2019-09-27,138,True
2019-09-30,199,False
2019-10-01,215,True
2019-09-27,140,True
2019-09-30,200,True
2019-10-25,325,True
2019-10-01,222,True
2019-10-14,290,True
2019-10-14,289,True
2019-09-27,141,True
2019-09-27,142,False
2019-09-27,143,True
2019-09-27,144,False
2019-09-27,145,True
2019-09-30,201,True
2019-09-27,146,True
2019-10-01,216,True
2019-10-01,228,True
2019-10-14,292,True
2019-10-14,291,True
2019-10-29,327,True
2019-09-27,147,True
2019-09-27,148,True
2019-09-27,149,True
2019-09-27,150,True
2019-09-27,151,True
2019-10-27,326,True
2019-09-27,158,True
2019-10-01,217,True
2019-10-01,229,True
2019-10-14,296,True
2019-09-27,152,True
2019-09-27,153,True
2019-09-27,154,True
2019-09-27,155,True
2019-09-27,156,True
2019-10-01,218,True
2019-10-02,230,True
2019-10-14,302,True
2019-09-27,157,True
2019-09-30,202,True
2019-09-27,159,True
2019-09-27,162,False
2019-09-27,161,True
2019-09-27,160,True
2019-09-28,178,True
2019-10-03,244,True
2019-09-28,163,True
2019-09-28,165,True
2019-09-28,164,True
2019-09-28,167,True
2019-09-30,203,True
2019-09-28,166,True
2019-09-28,169,True
2019-09-28,168,True
2019-09-30,204,True
2019-10-03,246,True
2019-09-30,205,True
2019-10-29,328,True
2019-09-28,170,True
2019-09-28,171,True
2019-09-28,172,True
2019-10-04,249,True
2019-09-30,206,True
2019-09-29,193,True
2019-10-29,329,False
2019-09-28,174,True
2019-09-28,173,True
2019-09-28,175,True
2019-09-30,207,True
2019-10-02,238,True
2019-09-28,176,True
2019-09-28,177,True
2019-09-28,179,True
2019-09-28,180,True
2019-09-28,181,True
2019-10-02,239,True
2019-09-28,184,True
2019-09-29,185,True
2019-09-29,186,True
2019-09-29,187,True
2019-09-30,208,True
2019-10-29,330,True
2019-10-01,219,True
2019-10-03,209,True
2019-10-01,220,True
2019-09-29,188,True
2019-09-29,189,True
2019-09-29,190,True
2019-09-29,191,True
2019-09-29,192,True
2019-09-30,210,True
2019-10-02,231,True
2019-09-30,194,False
2019-09-30,211,True
2019-10-02,237,True
2019-10-29,331,True
2019-10-02,240,True
2019-10-04,250,True
2019-10-01,223,True
2019-10-01,224,True
2019-10-04,251,True
2019-10-01,225,True
2019-10-01,226,True
2019-10-02,233,True
2019-10-02,232,True
2019-10-02,234,True
2019-10-02,235,True
2019-10-30,332,True
2019-10-03,241,True
2019-10-03,242,True
2019-10-30,333,True
2019-10-03,243,True
2019-10-03,245,True
2019-10-03,247,True
2019-10-06,254,True
2019-10-03,248,True
2019-10-07,256,True
2019-10-30,334,True
2019-10-04,252,True
2019-10-06,253,True
2019-10-07,257,True
2019-10-07,258,True
2019-10-30,335,True
2019-10-07,255,True
2019-10-07,260,True
2019-10-07,261,True
2019-10-07,259,True
2019-10-31,336,True
2019-10-14,281,True
2019-10-07,262,True
2019-10-15,305,True
2019-10-08,265,True
2019-10-15,306,True
2019-10-08,263,True
2019-10-08,264,False
2019-10-09,269,True
2019-10-11,271,True
2019-11-01,337,True
2019-10-15,307,True
2019-10-09,266,True
2019-10-15,310,True
2019-10-09,267,True
2019-10-09,270,True
2019-11-01,338,True
2019-10-09,268,True
2019-11-02,339,True
2019-10-11,273,True
2019-10-11,272,True
2019-10-15,313,True
2019-11-02,340,True
2019-10-12,275,True
2019-10-12,276,False
2019-10-13,278,True
2019-11-02,341,True
2019-10-13,279,True
2019-10-14,280,True
2019-10-14,283,True
2019-11-02,342,True
2019-10-14,285,True
2019-11-03,343,True
2019-10-14,286,True
2019-11-03,344,True
2019-10-14,287,True
2019-10-14,293,False
2019-10-14,295,True
2019-10-14,294,True
2019-11-03,345,True
2019-10-14,297,True
2019-10-14,299,True
2019-10-14,298,True
2019-11-04,346,True
2019-10-14,300,True
2019-10-14,301,True
2019-10-16,316,False
2019-10-15,303,True
2019-11-04,347,True
2019-10-20,320,False
2019-10-15,304,True
2019-10-16,317,True
2019-10-15,308,True
2019-10-15,311,True
2019-10-15,309,True
2019-10-15,312,True
2019-10-18,318,True
2019-10-24,323,False
2019-10-16,315,True
2019-10-18,319,True
2019-10-19,314,True
2019-10-22,321,True
2019-10-24,322,True
